Case_N,Source,Entity,Entity_Label,First_Position_Span
1.0,Text,bilirubin,Biomarker,"[114, 122]"
1.0,Text,INR,Biomarker,"[125, 127]"
1.0,Text,albumin,Biomarker,"[130, 136]"
1.0,Text,lesions,Tumor_Finding,"[323, 329]"
1.0,Text,parenchymal‑sparing resection,Cancer_Surgery,"[409, 437]"
1.0,Ref_Text,MSI,Oncogene,"[75, 77]"
1.0,Ref_Text,primary tumor,Tumor_Finding,"[95, 107]"
1.0,Ref_Text,adjuvant therapy,Therapy,"[157, 172]"
1.0,Ref_Text,extension,Invasion,"[189, 197]"
1.0,Ref_Text,lesion,Tumor_Finding,"[327, 332]"
1.0,Ref_Text,non anatomic resection,Cancer_Surgery,"[364, 385]"
1.0,Ref_Text,liver specific imaging,Imaging_Test,"[475, 496]"
1.0,Ref_Text,MRI/CT,Imaging_Test,"[499, 504]"
1.0,Ref_Text,involvement,Invasion,"[546, 556]"
1.0,Ref_Text,chemotherapy,Therapy,"[682, 693]"
1.0,Ref_Text,tumor,Tumor_Finding,"[809, 813]"
1.0,Ref_Text,systemic chemotherapy,Therapy,"[830, 850]"
1.0,Ref_Text,decrease,Response_To_Treatment,"[853, 860]"
1.0,Ref_Text,stability,Response_To_Treatment,"[863, 871]"
1.0,Ref_Text,progression,Response_To_Treatment,"[876, 886]"
1.0,Ref_Text,CEA,Biomarker,"[906, 908]"
2.0,Text,bilirubin,Biomarker,"[159, 167]"
2.0,Text,albumin,Biomarker,"[170, 176]"
2.0,Text,INR,Biomarker,"[179, 181]"
2.0,Text,primary tumor,Tumor_Finding,"[275, 287]"
2.0,Text,T‑stage,Staging,"[290, 296]"
2.0,Text,involvement,Invasion,"[305, 315]"
2.0,Text,colonoscopy/biopsy,Imaging_Test,"[323, 340]"
2.0,Text,metastasis,Metastasis,"[393, 402]"
2.0,Text,imaging,Imaging_Test,"[407, 413]"
2.0,Text,neoadjuvant chemotherapy,Therapy,"[481, 504]"
2.0,Text,upfront surgery,Cancer_Surgery,"[513, 527]"
2.0,Text,abdominal surgeries,Cancer_Surgery,"[544, 562]"
2.0,Ref_Text,MSI,Oncogene,"[75, 77]"
2.0,Ref_Text,primary tumor,Tumor_Finding,"[95, 107]"
2.0,Ref_Text,adjuvant therapy,Therapy,"[157, 172]"
2.0,Ref_Text,extension,Invasion,"[189, 197]"
2.0,Ref_Text,lesion,Tumor_Finding,"[327, 332]"
2.0,Ref_Text,non anatomic resection,Cancer_Surgery,"[364, 385]"
2.0,Ref_Text,liver specific imaging,Imaging_Test,"[475, 496]"
2.0,Ref_Text,MRI/CT,Imaging_Test,"[499, 504]"
2.0,Ref_Text,involvement,Invasion,"[546, 556]"
2.0,Ref_Text,chemotherapy,Therapy,"[682, 693]"
2.0,Ref_Text,tumor,Tumor_Finding,"[809, 813]"
2.0,Ref_Text,systemic chemotherapy,Therapy,"[830, 850]"
2.0,Ref_Text,decrease,Response_To_Treatment,"[853, 860]"
2.0,Ref_Text,stability,Response_To_Treatment,"[863, 871]"
2.0,Ref_Text,progression,Response_To_Treatment,"[876, 886]"
2.0,Ref_Text,CEA,Biomarker,"[906, 908]"
3.0,Text,MRI,Imaging_Test,"[220, 222]"
3.0,Text,involvement,Invasion,"[252, 262]"
3.0,Text,tumor,Tumor_Finding,"[280, 284]"
3.0,Text,Chest imaging,Imaging_Test,"[311, 323]"
3.0,Text,CT,Imaging_Test,"[326, 327]"
3.0,Text,metastases,Metastasis,"[362, 371]"
3.0,Text,BRAF,Oncogene,"[402, 405]"
3.0,Text,status,Biomarker_Result,"[412, 417]"
3.0,Text,systemic therapy,Therapy,"[441, 456]"
3.0,Text,CEA,Biomarker,"[470, 472]"
3.0,Text,trend,Biomarker_Result,"[474, 478]"
3.0,Text,response,Response_To_Treatment,"[504, 511]"
3.0,Text,therapy,Therapy,"[516, 522]"
3.0,Text,abdominoperineal resection,Cancer_Surgery,"[588, 613]"
3.0,Ref_Text,rectal tumor,Tumor_Finding,"[63, 74]"
3.0,Ref_Text,rectal resection,Cancer_Surgery,"[121, 136]"
3.0,Ref_Text,involvement,Invasion,"[199, 209]"
3.0,Ref_Text,MSI,Oncogene,"[265, 267]"
3.0,Ref_Text,primary tumor,Tumor_Finding,"[285, 297]"
3.0,Ref_Text,adjuvant therapy,Therapy,"[347, 362]"
3.0,Ref_Text,liver MRI,Imaging_Test,"[447, 455]"
3.0,Ref_Text,tumor,Tumor_Finding,"[472, 476]"
3.0,Ref_Text,systemic chemotherapy,Therapy,"[493, 513]"
3.0,Ref_Text,pelvic radiotherapy,Therapy,"[531, 549]"
3.0,Ref_Text,decrease,Response_To_Treatment,"[552, 559]"
3.0,Ref_Text,stability,Response_To_Treatment,"[562, 570]"
3.0,Ref_Text,progression,Response_To_Treatment,"[575, 585]"
3.0,Ref_Text,evolution,Response_To_Treatment,"[592, 600]"
