Case_N,Source,Entity,Entity_Label,First_Position_Span
1.0,Text,segmental colectomy,Cancer_Surgery,"[85, 103]"
1.0,Text,systemic therapy,Therapy,"[349, 364]"
1.0,Text,volumetric CT,Imaging_Test,"[420, 432]"
1.0,Text,ultrasound,Imaging_Test,"[453, 462]"
1.0,Text,wedge resection,Cancer_Surgery,"[636, 650]"
1.0,Text,minor hepatectomy,Cancer_Surgery,"[808, 824]"
1.0,Text,surgery,Cancer_Surgery,"[840, 846]"
1.0,Text,FLR,Therapy,"[926, 928]"
1.0,Text,colon resection,Cancer_Surgery,"[1029, 1043]"
1.0,Text,liver resection,Cancer_Surgery,"[1109, 1123]"
1.0,Text,anatomical segmentectomy,Cancer_Surgery,"[1133, 1156]"
1.0,Text,parenchymal‑sparing wedge resections,Cancer_Surgery,"[1161, 1196]"
1.0,Text,FOLFOX,Therapy,"[1366, 1371]"
1.0,Text,5‑FU/leucovorin/oxaliplatin,Therapy,"[1374, 1400]"
1.0,Text,cetuximab,Therapy,"[1436, 1444]"
1.0,Text,MRI liver,Imaging_Test,"[1706, 1714]"
1.0,Ref_Text,liver MRI,Imaging_Test,"[89, 97]"
1.0,Ref_Text,contrast enhanced CT,Imaging_Test,"[103, 122]"
1.0,Ref_Text,chemotherapy,Therapy,"[340, 351]"
1.0,Ref_Text,FOLFOX,Therapy,"[354, 359]"
1.0,Ref_Text,bevacizumab,Therapy,"[363, 373]"
1.0,Ref_Text,right hemicolectomy,Cancer_Surgery,"[619, 637]"
1.0,Ref_Text,D2 lymphadectomy,Cancer_Surgery,"[702, 717]"
1.0,Ref_Text,segment VI wedge/segmentectomy,Cancer_Surgery,"[759, 788]"
1.0,Ref_Text,ultrasound,Imaging_Test,"[840, 849]"
1.0,Ref_Text,resection,Cancer_Surgery,"[904, 912]"
1.0,Ref_Text,liver resection,Cancer_Surgery,"[1086, 1100]"
1.0,Ref_Text,surgery,Cancer_Surgery,"[1279, 1285]"
1.0,Ref_Text,systemic chemotherapy,Therapy,"[1979, 1999]"
1.0,Ref_Text,imaging,Imaging_Test,"[2058, 2064]"
2.0,Text,contrast‑enhanced liver MRI,Imaging_Test,"[87, 113]"
2.0,Text,gadoxetate‑enhanced MRI,Imaging_Test,"[119, 141]"
2.0,Text,colonoscopy,Imaging_Test,"[263, 273]"
2.0,Text,Neoadjuvant systemic therapy,Therapy,"[508, 535]"
2.0,Text,fluoropyrimidine‑oxaliplatin doublet,Therapy,"[681, 716]"
2.0,Text,mFOLFOX6,Therapy,"[725, 732]"
2.0,Text,VEGF‑targeted agent,Therapy,"[742, 760]"
2.0,Text,bevacizumab,Therapy,"[763, 773]"
2.0,Text,chemotherapy,Therapy,"[864, 875]"
2.0,Text,ileocecal resection,Cancer_Surgery,"[1126, 1144]"
2.0,Text,segment VI wedge/segmentectomy,Cancer_Surgery,"[1193, 1222]"
2.0,Text,non‑anatomical resection,Cancer_Surgery,"[1227, 1250]"
2.0,Text,surgery,Cancer_Surgery,"[1379, 1385]"
2.0,Text,CT,Imaging_Test,"[1816, 1817]"
2.0,Text,MRI of liver,Imaging_Test,"[1822, 1833]"
2.0,Text,chest CT,Imaging_Test,"[1836, 1843]"
2.0,Ref_Text,liver MRI,Imaging_Test,"[89, 97]"
2.0,Ref_Text,contrast enhanced CT,Imaging_Test,"[103, 122]"
2.0,Ref_Text,chemotherapy,Therapy,"[340, 351]"
2.0,Ref_Text,FOLFOX,Therapy,"[354, 359]"
