Case_N,Source,Entity,Entity_Label,First_Position_Span
1,Text,involvement,Invasion,"[75, 85]"
1,Text,resection,Cancer_Surgery,"[111, 119]"
1,Text,invasion,Invasion,"[125, 132]"
1,Ref_Text,metastases,Metastasis,"[68, 77]"
1,Ref_Text,2.2,Tumor_Size,"[80, 82]"
1,Ref_Text,3 cm,Tumor_Size,"[88, 91]"
1,Ref_Text,invasion,Invasion,"[167, 174]"
1,Ref_Text,Adequate,Biomarker_Result,"[179, 186]"
1,Ref_Text,FLR,Biomarker,"[188, 190]"
1,Ref_Text,Parenchymal-sparing resections,Cancer_Surgery,"[204, 233]"
2,Text,involvement,Invasion,"[183, 193]"
2,Text,surgery,Cancer_Surgery,"[229, 235]"
2,Text,hepatectomy,Cancer_Surgery,"[251, 261]"
2,Ref_Text,2.5 cm,Tumor_Size,"[65, 70]"
2,Ref_Text,metastasis,Metastasis,"[94, 103]"
2,Ref_Text,involvement,Invasion,"[160, 170]"
2,Ref_Text,FLR,Biomarker,"[175, 177]"
2,Ref_Text,not limiting,Biomarker_Result,"[179, 190]"
3,Text,invasion,Invasion,"[135, 142]"
3,Ref_Text,1.8 cm,Tumor_Size,"[71, 76]"
3,Ref_Text,segment III,Staging,"[78, 88]"
3,Ref_Text,metastasis,Metastasis,"[90, 99]"
3,Ref_Text,lesion,Tumor_Finding,"[126, 131]"
3,Ref_Text,invasion,Invasion,"[168, 175]"
3,Ref_Text,FLR,Biomarker,"[180, 182]"
3,Ref_Text,adequate,Biomarker_Result,"[184, 191]"
3,Ref_Text,Wedge resection,Cancer_Surgery,"[196, 210]"
3,Ref_Text,ablation,Cancer_Surgery,"[215, 222]"
4,Text,involvement,Invasion,"[206, 216]"
4,Text,metastases,Metastasis,"[247, 256]"
4,Text,imaging,Imaging_Test,"[293, 299]"
4,Text,lesions,Tumor_Finding,"[359, 365]"
4,Text,IV,Staging,"[398, 399]"
4,Text,anatomical resection,Cancer_Surgery,"[631, 650]"
4,Ref_Text,metastases,Metastasis,"[64, 73]"
4,Ref_Text,2–3 cm,Tumor_Size,"[76, 81]"
4,Ref_Text,invasion,Invasion,"[143, 150]"
4,Ref_Text,parenchymal-sparing resections,Cancer_Surgery,"[186, 215]"
5,Text,parenchymal‑sparing resections,Cancer_Surgery,"[219, 248]"
5,Text,invasion,Invasion,"[292, 299]"
5,Text,reconstruction,Cancer_Surgery,"[311, 324]"
5,Ref_Text,metastases,Metastasis,"[74, 83]"
5,Ref_Text,<3 cm,Tumor_Size,"[90, 94]"
5,Ref_Text,involvement,Invasion,"[135, 145]"
5,Ref_Text,Adequate,Biomarker_Result,"[150, 157]"
5,Ref_Text,FLR,Biomarker,"[159, 161]"
5,Ref_Text,parenchymal-sparing resections,Cancer_Surgery,"[184, 213]"
6,Text,involvement,Invasion,"[125, 135]"
6,Text,lesions,Tumor_Finding,"[243, 249]"
6,Text,reconstruction,Cancer_Surgery,"[291, 304]"
6,Text,surgery,Cancer_Surgery,"[373, 379]"
6,Text,surgically resectable,Cancer_Surgery,"[606, 626]"
6,Ref_Text,metastases,Metastasis,"[62, 71]"
6,Ref_Text,3 and 4 cm,Tumor_Size,"[97, 106]"
6,Ref_Text,Parenchymal-sparing resection,Cancer_Surgery,"[144, 172]"
6,Ref_Text,left hepatectomy,Cancer_Surgery,"[191, 206]"
6,Ref_Text,FLR,Biomarker,"[234, 236]"
6,Ref_Text,major resection,Cancer_Surgery,"[282, 296]"
7,Text,≥30 %,Biomarker_Result,"[77, 81]"
7,Text,resection,Cancer_Surgery,"[174, 182]"
7,Text,invaded,Invasion,"[238, 244]"
7,Text,metastases,Metastasis,"[253, 262]"
7,Text,liver MRI/CT,Imaging_Test,"[281, 292]"
7,Text,imaging,Imaging_Test,"[436, 442]"
7,Ref_Text,metastases,Metastasis,"[70, 79]"
7,Ref_Text,1–2 cm,Tumor_Size,"[82, 87]"
7,Ref_Text,invasion,Invasion,"[179, 186]"
7,Ref_Text,Parenchymal-sparing,Cancer_Surgery,"[191, 209]"
8,Text,invasion,Invasion,"[92, 99]"
8,Text,R0 resection,Cancer_Surgery,"[227, 238]"
8,Text,R1‑vascular resection,Cancer_Surgery,"[244, 264]"
8,Text,liver lesion,Tumor_Finding,"[274, 285]"
8,Text,lesion,Tumor_Finding,"[331, 336]"
8,Text,small,Tumor_Size,"[351, 355]"
8,Text,FLR,Biomarker,"[405, 407]"
8,Text,false,Biomarker_Result,"[420, 424]"
8,Ref_Text,2.7 cm,Tumor_Size,"[65, 70]"
8,Ref_Text,metastasis,Metastasis,"[84, 93]"
8,Ref_Text,limited resection,Cancer_Surgery,"[125, 141]"
8,Ref_Text,invasion,Invasion,"[169, 176]"
8,Ref_Text,Adequate,Biomarker_Result,"[190, 197]"
8,Ref_Text,FLR,Biomarker,"[199, 201]"
9,Text,invasion,Invasion,"[108, 115]"
9,Text,parenchymal‑sparing resection,Cancer_Surgery,"[172, 200]"
9,Text,involvement,Invasion,"[269, 279]"
9,Text,R0 resection,Cancer_Surgery,"[383, 394]"
9,Text,R1 vascular resection,Cancer_Surgery,"[400, 420]"
9,Text,lesions,Tumor_Finding,"[457, 463]"
9,Text,hepatectomy,Cancer_Surgery,"[518, 528]"
9,Ref_Text,metastases,Metastasis,"[84, 93]"
9,Ref_Text,2.1,Tumor_Size,"[96, 98]"
9,Ref_Text,2.4 cm,Tumor_Size,"[104, 109]"
9,Ref_Text,Unilobar,Histological_Type,"[114, 121]"
9,Ref_Text,FLR,Biomarker,"[187, 189]"
9,Ref_Text,not limiting,Biomarker_Result,"[191, 202]"
10,Text,invasion,Invasion,"[119, 126]"
10,Text,reconstruction,Cancer_Surgery,"[171, 184]"
10,Text,involvement,Invasion,"[253, 263]"
10,Text,3 cm,Tumor_Size,"[345, 348]"
10,Text,metastasis,Metastasis,"[350, 359]"
10,Text,surgery,Cancer_Surgery,"[609, 615]"
10,Ref_Text,3 cm,Tumor_Size,"[65, 68]"
10,Ref_Text,lesion,Tumor_Finding,"[87, 92]"
10,Ref_Text,invasion,Invasion,"[174, 181]"
10,Ref_Text,FLR,Biomarker,"[195, 197]"
10,Ref_Text,adequate,Biomarker_Result,"[199, 206]"
10,Ref_Text,resection,Cancer_Surgery,"[219, 227]"
11,Text,invasion,Invasion,"[194, 201]"
11,Text,imaging,Imaging_Test,"[248, 254]"
11,Text,involvement,Invasion,"[310, 320]"
11,Ref_Text,lesions,Tumor_Finding,"[64, 70]"
11,Ref_Text,1–2.5 cm,Tumor_Size,"[99, 106]"
11,Ref_Text,liver surgery,Cancer_Surgery,"[142, 154]"
12,Text,involvement,Invasion,"[76, 86]"
12,Text,segment‑II,Staging,"[95, 104]"
12,Text,lesion,Tumor_Finding,"[106, 111]"
12,Text,imaging,Imaging_Test,"[132, 138]"
12,Text,R1 vascular resection,Cancer_Surgery,"[249, 269]"
12,Text,1.5 cm,Tumor_Size,"[324, 329]"
12,Text,metastasis,Metastasis,"[331, 340]"
12,Text,hepatectomy,Cancer_Surgery,"[400, 410]"
12,Text,FLR,Biomarker,"[417, 419]"
12,Text,false,Biomarker_Result,"[432, 436]"
12,Text,resection,Cancer_Surgery,"[613, 621]"
12,Ref_Text,1.5 cm,Tumor_Size,"[65, 70]"
12,Ref_Text,metastasis,Metastasis,"[94, 103]"
12,Ref_Text,invasion,Invasion,"[131, 138]"
12,Ref_Text,FLR,Biomarker,"[152, 154]"
12,Ref_Text,adequate,Biomarker_Result,"[156, 163]"
12,Ref_Text,ablation,Cancer_Surgery,"[195, 202]"
13,Text,invasion,Invasion,"[76, 83]"
13,Text,resection,Cancer_Surgery,"[141, 149]"
13,Text,reconstruction,Cancer_Surgery,"[154, 167]"
13,Text,metastases,Metastasis,"[274, 283]"
13,Text,involvement,Invasion,"[301, 311]"
13,Text,liver MRI/CT,Imaging_Test,"[397, 408]"
13,Text,surgery,Cancer_Surgery,"[459, 465]"
13,Ref_Text,lesions,Tumor_Finding,"[64, 70]"
13,Ref_Text,3.8 cm,Tumor_Size,"[104, 109]"
13,Ref_Text,Parenchymal-sparing approach,Cancer_Surgery,"[144, 171]"
13,Ref_Text,FLR,Therapy,"[193, 195]"
14,Text,invasion,Invasion,"[131, 138]"
14,Text,liver lesions,Tumor_Finding,"[385, 397]"
14,Text,metastases,Metastasis,"[422, 431]"
14,Text,small,Tumor_Size,"[437, 441]"
14,Text,parenchymal resections,Cancer_Surgery,"[523, 544]"
14,Text,major hepatectomy,Cancer_Surgery,"[567, 583]"
14,Text,imaging,Imaging_Test,"[644, 650]"
14,Text,negative,Biomarker_Result,"[686, 693]"
14,Ref_Text,metastases,Metastasis,"[62, 71]"
14,Ref_Text,2.2 and 3 cm,Tumor_Size,"[97, 108]"
14,Ref_Text,Bilobar,Histological_Type,"[113, 119]"
14,Ref_Text,lesions,Tumor_Finding,"[136, 142]"
14,Ref_Text,invasion,Invasion,"[167, 174]"
14,Ref_Text,FLR,Biomarker,"[188, 190]"
14,Ref_Text,adequate,Biomarker_Result,"[192, 199]"
14,Ref_Text,resections,Cancer_Surgery,"[216, 225]"
15,Text,invasion,Invasion,"[76, 83]"
15,Text,vascular involvement,Invasion,"[128, 147]"
15,Text,resection,Cancer_Surgery,"[165, 173]"
15,Text,Surgical_Margins_Compatibility_Surgery,Cancer_Surgery,"[340, 377]"
15,Text,involvement,Invasion,"[413, 423]"
15,Text,surgery,Cancer_Surgery,"[502, 508]"
15,Ref_Text,2.8 cm,Tumor_Size,"[65, 70]"
15,Ref_Text,metastasis,Metastasis,"[82, 91]"
15,Ref_Text,limited resection,Cancer_Surgery,"[124, 140]"
15,Ref_Text,ablation,Cancer_Surgery,"[145, 152]"
15,Ref_Text,invasion,Invasion,"[180, 187]"
15,Ref_Text,FLR,Biomarker,"[201, 203]"
15,Ref_Text,adequate,Biomarker_Result,"[205, 212]"
16,Text,R0 resection,Cancer_Surgery,"[111, 122]"
16,Text,liver resection,Cancer_Surgery,"[276, 290]"
16,Ref_Text,metastases,Metastasis,"[72, 81]"
16,Ref_Text,1–4 cm,Tumor_Size,"[84, 89]"
16,Ref_Text,High,Biomarker_Result,"[130, 133]"
16,Ref_Text,tumor,Tumor_Finding,"[135, 139]"
16,Ref_Text,parenchymal-sparing resection,Cancer_Surgery,"[196, 224]"
16,Ref_Text,response,Response_To_Treatment,"[290, 297]"
16,Ref_Text,resection,Cancer_Surgery,"[422, 430]"
16,Ref_Text,chemotherapy,Therapy,"[506, 517]"
17,Text,parenchymal‑sparing resection,Cancer_Surgery,"[273, 301]"
17,Text,limited venous reconstruction,Cancer_Surgery,"[306, 334]"
17,Text,invasion,Invasion,"[493, 500]"
17,Text,contact,Invasion,"[650, 656]"
17,Text,surgically,Cancer_Surgery,"[682, 691]"
17,Text,resectable,Cancer_Surgery,"[709, 718]"
17,Text,Missing,Biomarker_Result,"[721, 727]"
17,Text,FLR,Biomarker,"[729, 731]"
17,Ref_Text,metastases,Metastasis,"[71, 80]"
17,Ref_Text,One,Tumor_Size,"[85, 87]"
17,Ref_Text,lesion,Tumor_Finding,"[89, 94]"
17,Ref_Text,FLR,Biomarker,"[192, 194]"
17,Ref_Text,response,Response_To_Treatment,"[241, 248]"
17,Ref_Text,conversion therapy,Therapy,"[355, 372]"
18,Text,≥30 %,Biomarker_Result,"[81, 85]"
18,Text,involvement,Invasion,"[144, 154]"
18,Text,resection,Cancer_Surgery,"[210, 218]"
18,Text,reconstruction,Cancer_Surgery,"[260, 273]"
18,Text,vascular imaging,Imaging_Test,"[673, 688]"
